traffic_flow,share,speed,lstm_traffic_flow_pred,lstm_share_pred,lstm_speed_pred
185.0,0.0228,69.0,235.2866973876953,0.03460763767361641,68.0092544555664
230.0,0.030100000000000002,68.2,235.8125762939453,0.03471331670880318,68.00312042236328
231.0,0.0291,68.4,251.89215087890625,0.03712253272533417,68.05380249023438
269.0,0.0345,68.7,262.1561279296875,0.038578420877456665,68.06896209716797
278.0,0.0346,69.1,284.63397216796875,0.041550036519765854,68.04556274414062
291.0,0.0381,68.6,303.938720703125,0.04389902576804161,67.94756317138672
295.0,0.0377,68.7,325.43658447265625,0.046467870473861694,67.79376983642578
258.0,0.0573,61.0,339.3109436035156,0.048314329236745834,67.65443420410156
270.0,0.0354,63.5,357.1873779296875,0.05092359706759453,67.3839340209961
281.0,0.0379,64.8,348.10125732421875,0.04960281774401665,67.53023529052734
287.0,0.0357,66.8,339.0047912597656,0.04840480908751488,67.63448333740234
251.0,0.0324,68.5,328.0768737792969,0.04698151350021362,67.73774719238281
353.0,0.0471,67.3,307.0464782714844,0.04442790523171425,67.88984680175781
284.0,0.0369,68.3,343.939697265625,0.04898786544799805,67.58885955810547
279.0,0.037000000000000005,67.7,343.0252380371094,0.04883204400539398,67.60142517089844
294.0,0.0426,66.1,340.73114013671875,0.048464614897966385,67.63742065429688
408.0,0.0551,66.8,347.79180908203125,0.04946836829185486,67.54334259033203
361.0,0.0481,67.1,374.0354919433594,0.053831592202186584,66.9245376586914
348.0,0.0456,67.6,379.7104797363281,0.05486825481057167,66.71731567382812
304.0,0.0398,67.5,381.32586669921875,0.055223576724529266,66.65013885498047
382.0,0.0535,66.4,377.205078125,0.05444813519716263,66.8088607788086
345.0,0.0469,66.2,383.69281005859375,0.05580465495586395,66.53697204589844
303.0,0.0401,66.8,384.2997131347656,0.05591199919581413,66.50788116455078
359.0,0.0499,66.4,379.1180114746094,0.05472933128476143,66.75312042236328
329.0,0.043,67.9,381.67596435546875,0.05521049350500107,66.64693450927734
384.0,0.0519,67.4,378.6224060058594,0.054523054510354996,66.7752914428711
370.0,0.0498,67.7,383.4654541015625,0.05560975521802902,66.55555725097656
368.0,0.0497,67.6,385.457763671875,0.055946458131074905,66.46575927734375
350.0,0.0474,68.3,386.85321044921875,0.056138232350349426,66.4024658203125
337.0,0.044000000000000004,68.7,386.2961120605469,0.05595414713025093,66.43660736083984
352.0,0.0457,68.5,384.1764221191406,0.055448826402425766,66.54888153076172
312.0,0.0412,68.3,383.86248779296875,0.055366400629282,66.56242370605469
335.0,0.0435,68.8,379.75189208984375,0.05450887978076935,66.74933624267578
334.0,0.0662,60.9,378.2958068847656,0.054260674864053726,66.81076049804688
311.0,0.0469,62.9,386.8662414550781,0.056144580245018005,66.41260528564453
335.0,0.0434,66.8,384.7732238769531,0.055539947003126144,66.54227447509766
273.0,0.0362,67.4,379.406982421875,0.05429985374212265,66.80213165283203
295.0,0.0389,68.1,362.75341796875,0.05111409351229668,67.34435272216797
273.0,0.0355,68.6,348.4069519042969,0.04896752908825874,67.61882781982422
326.0,0.0437,68.5,329.69769287109375,0.046527985483407974,67.81375885009766
295.0,0.0385,69.0,342.0849914550781,0.04807043820619583,67.69470977783203
375.0,0.0497,68.8,341.339111328125,0.047946810722351074,67.6778793334961
247.0,0.0322,69.0,362.6153869628906,0.0508040115237236,67.35205078125
335.0,0.0443,68.6,347.6866760253906,0.04866465553641319,67.57687377929688
390.0,0.0507,68.8,357.23828125,0.05004308372735977,67.45274353027344
364.0,0.048,68.9,371.7388610839844,0.05238926783204079,67.13720703125
340.0,0.0434,69.4,376.5708312988281,0.053220923990011215,66.99394226074219
