traffic_flow,share,speed,lstm_traffic_flow_pred,lstm_share_pred,lstm_speed_pred
150.0,0.0182,68.9,103.41995239257812,0.013464533723890781,68.45662689208984
122.00000000000001,0.0149,68.2,108.05204772949219,0.014244728721678257,68.3982162475586
118.99999999999999,0.0142,68.7,106.07986450195312,0.01397064421325922,68.32013702392578
133.0,0.017,68.3,105.58311462402344,0.013848408125340939,68.32133483886719
148.0,0.0235,64.3,108.54267883300781,0.01431539561599493,68.298828125
210.0,0.0262,66.5,107.99253845214844,0.014770125038921833,67.82491302490234
212.0,0.0267,67.1,120.59880065917969,0.01689085178077221,67.57217407226562
179.0,0.0223,67.8,135.28695678710938,0.019116824492812157,67.45858764648438
158.0,0.019100000000000002,68.2,142.38624572753906,0.019839435815811157,67.59844970703125
147.0,0.0188,68.7,146.7149658203125,0.020112639293074608,67.8625717163086
152.0,0.018999999999999996,69.2,149.0919952392578,0.020097875967621803,68.17928314208984
188.0,0.0232,69.3,151.23965454101562,0.02010292187333107,68.51924133300781
224.0,0.027999999999999997,68.5,158.92247009277344,0.021429196000099182,68.65687561035156
185.0,0.0228,69.0,169.491455078125,0.023148659616708755,68.59127044677734
230.0,0.030100000000000002,68.2,171.91575622558594,0.023435503244400024,68.68608093261719
231.0,0.0291,68.4,185.45367431640625,0.025535086169838905,68.58076477050781
269.0,0.0345,68.7,197.77337646484375,0.02730455808341503,68.56608581542969
278.0,0.0346,69.1,217.72149658203125,0.03010586090385914,68.51355743408203
291.0,0.0381,68.6,235.44778442382812,0.03237495198845863,68.57042694091797
295.0,0.0377,68.7,252.3048095703125,0.03464844077825546,68.50743103027344
258.0,0.0573,61.0,265.4765930175781,0.03632326051592827,68.52008819580078
270.0,0.0354,63.5,288.99493408203125,0.042479924857616425,66.46115112304688
281.0,0.0379,64.8,275.234375,0.041198767721652985,65.8306655883789
287.0,0.0357,66.8,267.6734619140625,0.039922092109918594,65.60228729248047
251.0,0.0324,68.5,261.9861755371094,0.037971314042806625,66.01202392578125
353.0,0.0471,67.3,254.16323852539062,0.03528760373592377,66.88862609863281
284.0,0.0369,68.3,277.4249267578125,0.037822771817445755,67.01885986328125
279.0,0.037000000000000005,67.7,278.33929443359375,0.03671267628669739,67.8807601928711
294.0,0.0426,66.1,279.05902099609375,0.03763790428638458,68.06231689453125
408.0,0.0551,66.8,286.9454345703125,0.03954503685235977,67.74686431884766
361.0,0.0481,67.1,317.87518310546875,0.04461292177438736,67.07473754882812
348.0,0.0456,67.6,328.36627197265625,0.04591207206249237,67.00407409667969
304.0,0.0398,67.5,331.77044677734375,0.045615117996931076,67.29896545410156
382.0,0.0535,66.4,323.21392822265625,0.044104382395744324,67.60350799560547
345.0,0.0469,66.2,342.2171630859375,0.04688996449112892,67.26980590820312
303.0,0.0401,66.8,344.31951904296875,0.04705100879073143,67.2323226928711
359.0,0.0499,66.4,330.8565368652344,0.04497063159942627,67.45684814453125
329.0,0.043,67.9,334.36383056640625,0.046050332486629486,67.08071899414062
384.0,0.0519,67.4,327.5147705078125,0.04466940462589264,67.4081802368164
370.0,0.0498,67.7,339.6563720703125,0.04627107456326485,67.32820129394531
