traffic_flow,share,speed,GRU_traffic_flow_pred,GRU_share_pred,GRU_speed_pred
185.0,0.0228,69.0,212.1985321044922,0.025251222774386406,68.28269958496094
230.0,0.030100000000000002,68.2,214.61734008789062,0.025609059259295464,68.20243072509766
231.0,0.0291,68.4,228.40951538085938,0.027688296511769295,67.99798583984375
269.0,0.0345,68.7,239.73606872558594,0.029096050187945366,67.83979797363281
278.0,0.0346,69.1,260.35784912109375,0.031871188431978226,67.58140563964844
291.0,0.0381,68.6,278.6905212402344,0.034530773758888245,67.30877685546875
295.0,0.0377,68.7,295.3946838378906,0.03686527535319328,67.02153778076172
258.0,0.0573,61.0,309.7454528808594,0.0390988327562809,66.75238037109375
270.0,0.0354,63.5,326.0700378417969,0.041723500937223434,66.39241027832031
281.0,0.0379,64.8,328.2513732910156,0.04192117229104042,66.28982543945312
287.0,0.0357,66.8,331.3514099121094,0.042696379125118256,66.1083755493164
251.0,0.0324,68.5,330.00958251953125,0.042893629521131516,65.94263458251953
353.0,0.0471,67.3,319.0809631347656,0.041458360850811005,65.99555969238281
284.0,0.0369,68.3,337.6677551269531,0.04539419338107109,65.36860656738281
279.0,0.037000000000000005,67.7,332.6289367675781,0.044580601155757904,65.4232406616211
294.0,0.0426,66.1,329.2762756347656,0.044047120958566666,65.4703598022461
408.0,0.0551,66.8,336.4832763671875,0.04554598778486252,65.26112365722656
361.0,0.0481,67.1,363.31182861328125,0.051508598029613495,64.28099060058594
348.0,0.0456,67.6,366.84228515625,0.05251370370388031,64.07211303710938
304.0,0.0398,67.5,368.5501403808594,0.0532253198325634,63.99319076538086
382.0,0.0535,66.4,361.6664123535156,0.052115123718976974,64.27273559570312
345.0,0.0469,66.2,374.5009460449219,0.05673185735940933,63.353946685791016
303.0,0.0401,66.8,371.9786071777344,0.0572158508002758,63.23950958251953
359.0,0.0499,66.4,360.29736328125,0.05497566610574722,63.71581268310547
329.0,0.043,67.9,367.08966064453125,0.057940974831581116,63.101036071777344
384.0,0.0519,67.4,362.2644958496094,0.05707656964659691,63.36417770385742
370.0,0.0498,67.7,371.8634948730469,0.06097666174173355,62.59787368774414
368.0,0.0497,67.6,371.4559631347656,0.061564113944768906,62.50123596191406
350.0,0.0474,68.3,372.1224365234375,0.06191468611359596,62.5062370300293
337.0,0.044000000000000004,68.7,371.3216552734375,0.061313167214393616,62.830848693847656
352.0,0.0457,68.5,369.7169494628906,0.06047605350613594,63.2581901550293
312.0,0.0412,68.3,373.1559753417969,0.06151024252176285,63.25605773925781
335.0,0.0435,68.8,368.9385681152344,0.06003384664654732,63.86329650878906
334.0,0.0662,60.9,369.8203125,0.061007339507341385,63.8792839050293
311.0,0.0469,62.9,386.399169921875,0.069377601146698,62.03812789916992
335.0,0.0434,66.8,379.2867431640625,0.06707628816366196,62.72455978393555
273.0,0.0362,67.4,373.1564636230469,0.06476239114999771,63.40492630004883
295.0,0.0389,68.1,359.39056396484375,0.05879209190607071,64.76337432861328
273.0,0.0355,68.6,354.6741027832031,0.05706239864230156,65.1866455078125
326.0,0.0437,68.5,345.24359130859375,0.05323546379804611,65.88914489746094
295.0,0.0385,69.0,348.74456787109375,0.05448964610695839,65.72205352783203
375.0,0.0497,68.8,344.1059265136719,0.052419450134038925,66.08642578125
247.0,0.0322,69.0,357.8873596191406,0.05605410784482956,65.56123352050781
335.0,0.0443,68.6,344.4612731933594,0.04963252320885658,66.64806365966797
390.0,0.0507,68.8,352.09796142578125,0.051248230040073395,66.43917846679688
364.0,0.048,68.9,363.029296875,0.0540272481739521,65.99662017822266
340.0,0.0434,69.4,363.8937072753906,0.052930302917957306,66.17129516601562
296.0,0.06040000000000001,64.3,359.3997497558594,0.05029761418700218,66.599609375
389.0,0.052000000000000005,65.8,361.54376220703125,0.05045878142118454,66.50757598876953
264.0,0.0346,67.5,366.44757080078125,0.0519527941942215,66.20589447021484
294.0,0.0395,67.8,349.05938720703125,0.04632946476340294,67.11933898925781
304.0,0.0398,68.3,342.3555908203125,0.04476034268736839,67.3329849243164
316.0,0.0417,68.7,339.1359558105469,0.04425564408302307,67.40584564208984
342.0,0.0452,68.6,338.4853210449219,0.04452883452177048,67.39029693603516
328.0,0.0433,68.5,342.31390380859375,0.04599551111459732,67.2109146118164
360.0,0.0478,68.7,341.7813415527344,0.046191491186618805,67.20050811767578
301.0,0.0396,68.9,346.52337646484375,0.047595374286174774,67.01067352294922
296.0,0.038,68.9,340.2492980957031,0.045541178435087204,67.33045196533203
373.0,0.0488,69.1,334.7851867675781,0.04403655603528023,67.50724029541016
347.0,0.0468,68.1,344.89990234375,0.046215154230594635,67.2520980834961
271.0,0.0357,68.7,346.64324951171875,0.04659957066178322,67.21294403076172
338.0,0.0447,68.7,333.53668212890625,0.04334378242492676,67.67131805419922
256.0,0.0337,69.0,336.650390625,0.04446929320693016,67.54047393798828
333.0,0.045,67.7,322.9825134277344,0.041369423270225525,67.89376068115234
396.0,0.0761,63.6,329.6564636230469,0.04318251460790634,67.70630645751953
363.0,0.0485,65.4,352.4362487792969,0.04948112741112709,66.73285675048828
393.0,0.0664,62.7,350.9141540527344,0.04906843602657318,66.80194854736328
288.0,0.0399,63.6,361.27508544921875,0.052171047776937485,66.18269348144531
218.0,0.0527,58.9,349.448486328125,0.04825444892048836,66.85187530517578
278.0,0.0377,63.9,346.9841613769531,0.04733225330710411,66.88201904296875
283.0,0.037000000000000005,66.4,338.54168701171875,0.04492771252989769,67.19509887695312
373.0,0.0504,66.6,332.3367919921875,0.04321169853210449,67.39706420898438
351.0,0.0458,67.7,343.7774353027344,0.046120986342430115,67.05305480957031
372.0,0.0499,67.8,345.1961669921875,0.04654597491025925,67.04265594482422
372.0,0.0496,67.4,349.38818359375,0.04779774695634842,66.87872314453125
169.0,0.0228,68.0,351.7753601074219,0.0485173836350441,66.78382873535156
337.0,0.0486,65.9,319.08489990234375,0.040245771408081055,67.8211898803711
364.0,0.0493,66.1,333.2557067871094,0.04345915466547012,67.46759033203125
391.0,0.0526,67.1,344.34423828125,0.0463787242770195,67.07866668701172
335.0,0.0472,65.4,352.3299255371094,0.04880233481526375,66.71366119384766
348.0,0.0464,67.1,351.1634521484375,0.04848981276154518,66.76341247558594
393.0,0.0532,66.8,350.8743591308594,0.048260364681482315,66.81246185302734
296.0,0.0386,67.1,357.87701416015625,0.050073474645614624,66.50971221923828
340.0,0.0447,67.9,349.054443359375,0.046592049300670624,67.09371948242188
370.0,0.0487,68.2,350.6759948730469,0.04701691120862961,66.98439025878906
411.0,0.0539,67.9,356.1079406738281,0.04829324036836624,66.77810668945312
342.0,0.045,68.2,363.75177001953125,0.0504801869392395,66.3985824584961
393.0,0.0553,66.3,358.0661315917969,0.048688437789678574,66.73199462890625
342.0,0.0452,67.5,364.13421630859375,0.05076614394783974,66.34225463867188
271.0,0.0357,67.9,358.27874755859375,0.04910264164209366,66.65013122558594
330.0,0.0448,67.0,343.8262634277344,0.04512264207005501,67.27661895751953
