traffic_flow,share,speed,TCN_attention_traffic_flow_pred,TCN_attention_share_pred,TCN_attention_speed_pred
185.0,0.0228,69.0,88.57304382324219,0.024028848856687546,67.31019592285156
230.0,0.030100000000000002,68.2,91.86370849609375,0.024340402334928513,67.31460571289062
231.0,0.0291,68.4,96.05343627929688,0.0247605349868536,67.31687927246094
269.0,0.0345,68.7,99.79237365722656,0.025195565074682236,67.34208679199219
278.0,0.0346,69.1,103.71144104003906,0.025610636919736862,67.37357330322266
291.0,0.0381,68.6,107.82914733886719,0.02601676993072033,67.39825439453125
295.0,0.0377,68.7,111.8638916015625,0.0263898316770792,67.42151641845703
258.0,0.0573,61.0,116.2909927368164,0.02682216838002205,67.44315338134766
270.0,0.0354,63.5,120.8664321899414,0.02732001803815365,67.43123626708984
281.0,0.0379,64.8,124.59124755859375,0.0277602169662714,67.43450164794922
287.0,0.0357,66.8,127.20491790771484,0.02819019742310047,67.44367980957031
251.0,0.0324,68.5,130.1849365234375,0.028524456545710564,67.44340515136719
353.0,0.0471,67.3,133.1324462890625,0.02888232097029686,67.45503234863281
284.0,0.0369,68.3,137.36447143554688,0.029204748570919037,67.46892547607422
279.0,0.037000000000000005,67.7,141.134765625,0.029562780633568764,67.48146057128906
294.0,0.0426,66.1,144.9926300048828,0.02989891543984413,67.503173828125
408.0,0.0551,66.8,148.5958251953125,0.030214233323931694,67.51519012451172
361.0,0.0481,67.1,153.65821838378906,0.030622076243162155,67.53684997558594
348.0,0.0456,67.6,158.25083923339844,0.03096158616244793,67.55479431152344
304.0,0.0398,67.5,162.3154754638672,0.031272731721401215,67.58951568603516
382.0,0.0535,66.4,165.56871032714844,0.03158167004585266,67.6217041015625
345.0,0.0469,66.2,170.0137176513672,0.03211146965622902,67.65813446044922
303.0,0.0401,66.8,174.0128173828125,0.032574377954006195,67.68687438964844
359.0,0.0499,66.4,177.6421356201172,0.03302095830440521,67.71281433105469
329.0,0.043,67.9,182.23733520507812,0.03342527151107788,67.7398910522461
384.0,0.0519,67.4,185.36363220214844,0.03380589932203293,67.78286743164062
370.0,0.0498,67.7,189.71658325195312,0.034175269305706024,67.81078338623047
368.0,0.0497,67.6,193.84661865234375,0.03449036926031113,67.82653045654297
350.0,0.0474,68.3,197.4802703857422,0.03475278615951538,67.85008239746094
337.0,0.044000000000000004,68.7,200.56480407714844,0.035020485520362854,67.8842544555664
352.0,0.0457,68.5,203.56637573242188,0.03525018319487572,67.92485809326172
312.0,0.0412,68.3,206.82742309570312,0.0354558527469635,67.96142578125
335.0,0.0435,68.8,209.3051300048828,0.03566558286547661,67.99524688720703
334.0,0.0662,60.9,212.46484375,0.03589368984103203,68.02921295166016
311.0,0.0469,62.9,215.95042419433594,0.03624159097671509,68.0143051147461
335.0,0.0434,66.8,218.1713409423828,0.0366239994764328,68.00911712646484
273.0,0.0362,67.4,220.80039978027344,0.03696412220597267,68.0263900756836
295.0,0.0389,68.1,222.7412567138672,0.03726193681359291,68.0523681640625
273.0,0.0355,68.6,225.15196228027344,0.03746432811021805,68.08411407470703
326.0,0.0437,68.5,227.57334899902344,0.03778694197535515,68.12467956542969
295.0,0.0385,69.0,231.351318359375,0.03816727548837662,68.16505432128906
375.0,0.0497,68.8,234.14334106445312,0.03847363218665123,68.2061538696289
247.0,0.0322,69.0,238.03118896484375,0.038788098841905594,68.26512908935547
335.0,0.0443,68.6,239.08200073242188,0.03885351121425629,68.30001068115234
390.0,0.0507,68.8,241.6678466796875,0.03897899016737938,68.3489761352539
364.0,0.048,68.9,245.3271484375,0.03920667991042137,68.39263153076172
340.0,0.0434,69.4,248.1774444580078,0.03943489491939545,68.43226623535156
296.0,0.06040000000000001,64.3,250.8284149169922,0.03957519680261612,68.46392059326172
389.0,0.052000000000000005,65.8,252.36036682128906,0.03975946456193924,68.45970916748047
264.0,0.0346,67.5,254.43380737304688,0.03994027152657509,68.4779281616211
294.0,0.0395,67.8,254.22145080566406,0.040150534361600876,68.4945068359375
304.0,0.0398,68.3,255.7235565185547,0.040227800607681274,68.50711059570312
316.0,0.0417,68.7,256.494140625,0.04037468880414963,68.53350830078125
342.0,0.0452,68.6,257.2934265136719,0.04050741344690323,68.5557861328125
328.0,0.0433,68.5,258.6673889160156,0.04059712216258049,68.5710220336914
360.0,0.0478,68.7,259.2568359375,0.040664684027433395,68.58219909667969
301.0,0.0396,68.9,260.8208312988281,0.04071752727031708,68.61392974853516
296.0,0.038,68.9,260.72064208984375,0.04070531204342842,68.62565612792969
373.0,0.0488,69.1,261.4303283691406,0.040692027658224106,68.66648864746094
347.0,0.0468,68.1,262.587890625,0.040842216461896896,68.71377563476562
271.0,0.0357,68.7,263.45928955078125,0.040932461619377136,68.74442291259766
338.0,0.0447,68.7,263.066650390625,0.04091338440775871,68.74868774414062
256.0,0.0337,69.0,264.2745361328125,0.041019003838300705,68.76725006103516
333.0,0.045,67.7,262.7362060546875,0.04096716269850731,68.7732162475586
396.0,0.0761,63.6,263.10443115234375,0.040990471839904785,68.78411102294922
363.0,0.0485,65.4,265.03143310546875,0.04107801243662834,68.7430191040039
393.0,0.0664,62.7,265.4859313964844,0.041233740746974945,68.74541473388672
288.0,0.0399,63.6,265.2378845214844,0.04125946760177612,68.70702362060547
218.0,0.0527,58.9,263.7047424316406,0.04132082313299179,68.68325805664062
278.0,0.0377,63.9,261.961181640625,0.04128105565905571,68.65643310546875
283.0,0.037000000000000005,66.4,260.0893249511719,0.041316162794828415,68.63494110107422
373.0,0.0504,66.6,258.2642517089844,0.04120546579360962,68.62389373779297
351.0,0.0458,67.7,258.51080322265625,0.041137125343084335,68.62549591064453
372.0,0.0499,67.8,259.1496276855469,0.04108952730894089,68.63249969482422
372.0,0.0496,67.4,259.87054443359375,0.041003160178661346,68.6351089477539
169.0,0.0228,68.0,260.7730712890625,0.04094896465539932,68.63180541992188
337.0,0.0486,65.9,257.90460205078125,0.04080310836434364,68.61209869384766
364.0,0.0493,66.1,258.7445068359375,0.04066544771194458,68.6044921875
